idx,text,query
36479,"Well yes, there's good and bad of everything. But I could make a gallon of mead for $10 (give or take, depending on ingredients). Good commercial meads start at $25 - $30 for a 750 ml bottle. So even with an occasional bad batch it comes out ahead.",best alcoholic drink
51180,How is it possible to have TLOP above Late Registration and 808s? How can you put Graduation second? Why is Complex consistently terrible?,best rap album
29614,"This thread. I like it.

I'd suggest the Crash Bandicoot series. Immensely fun platformers and a racing game, back when Naughty Dog made games and not movies.",best game console
53548,And don't take Allegra with fruit juice!,best medicine for a cold
58612,"I share it with my father because we both love and use fragrances daily but so far:

dior sauvage edt

jpg ultramale

adg profumo

mb explorer

versace eros edt

prada l'homme edt

bvlgari man in black",best cologne
41221,"Eh that always seem to be the go-to answer, I prefer Mischa Maisky.",best instrument to play
40236,"Category | CPU | Cores | Price
--------|---|-----|-----
Best overall gaming | Intel 10600k | 6 | ~~£290~~£279.98
Best budget gaming | AMD 3300X | 4 | £119
Best all-around | AMD 3600 | 6 | ~~£151~~£153.59
Best hobbyist workstation | AMD 3950X | 16 | £666
Best high-end workstation | AMD 3990X | 64 | £3300
Most fun to overclock | Intel 10900K | 10 | £529

Just for British people out there. Prices taken from Amazon, Overclockers UK and Scan.

Edit - Looked at a price comparison website, found 10600k for around a tenner cheaper. No idea about stock though. The 10900KF is cheaper, at around £500 and the 10600KF is around £250.",best midrange CPU
7852,"I personally don't recommend them often, but the new Surface Laptop 4, which wasn't available at the time of me making this list, is a really solid Ryzen 4000 option.",best laptop for general use
33029,"Just tried key lime pie bang for the first time, without a doubt my favorite 🤩",best energy drink
59496,"You adore 80s-90s colognes, dealing well with animalics.",best perfume
22399,"Ewan McGregor accidentally ran over my bf's foot a couple of years ago when he was filming his Long Way Round series. He was absolutely lovely though, my bf loves bikes so he was over the moon bless him. Apparently they talked about his GS for a couple of minutes together, apparently it's one of his favourite memories. He had to restrain himself a little from roasting the GS as they are notorious for their unreliability",best celebrity
22670,"On WTF with Marc Maron, Weird Al tells the story about attending the Grammies. Said he was seated next to Prince. Weird Al says that he received a letter from Prince's people in the days running up to the event , saying that Weird Al was not to make eye contact or interact with Prince during the event. So, yeah, there's that...",best celebrity
53784,"Just when you feel that you're about to get sick, think 'nah, Im not gonna do it this time' and skip it

-Gavin Free",best medicine for a cold
3675,"Not sure if this is useful but I did learn there was some decent universities in some interesting places such as Peru, Uganda, Kenya, and Gran Canaria to name few.",best college for research
51740,Going caseless. as always.,best iphone case
44913,A rice cooker.  Sounds silly but it really did change my life.  I've never made such perfect rice before.,best items under $100
14965,"[Alyssa Cole](https://alyssacole.com/) has some really good books both historical and contemporary. Her protagonists tend to be women of color and her historicals aren't all set in England (which tends to happen in romances). 

I'm also going to second [Smart Bitches Trashy Books](www.smartbitchestrashybooks.com) as a resource for finding well written reviews of romance novels and their daily sales posts are really nice. 

For contemporaries I also like Shannon Stacey, Linda Howard, Julie James, and Nora Roberts (has a huge back catalog with some paranormals in there). For more erotic writing I've enjoyed the Beyond series from Kit Rocha but it's pretty BDSM heavy.",best romantic novel
69072,"Anathem, The Troika, The Descent",best science fiction novel
73547,[https://www.samsung.com/us/mobile/mobile-accessories/phones/battery-pack-10ah-with-usb-c-cable-rose-gold-eb-p1100cpegus/?CID=afl-ecomm-cjn-cha-092118-52057&cjevent=5d1c4b51468c11e98088009d0a1c0e0e](https://www.samsung.com/us/mobile/mobile-accessories/phones/battery-pack-10ah-with-usb-c-cable-rose-gold-eb-p1100cpegus/?CID=afl-ecomm-cjn-cha-092118-52057&cjevent=5d1c4b51468c11e98088009d0a1c0e0e),best battery bank
66881,why uruguay? (im legit asking),best soccer team in the world
54217,Never had a problem.  I get a cold and go to the gym cold is gone in less than 36 hours.  Know your body it works for me and that was the question.,best medicine for a cold
19057,"The Hacksmith, Jim Browning and Code Bullet",best YouTube video
10955,"recently me neither. My hotshot is from 2010, now a days TNF has definitely lowered R&D budgets in favor of a large marketing one. The dad has a few vintage ones from the 80's and theyre still in great shape.",best backpack for college
10568,"As always the real LPTs are either in the comments or in the /r/undelete/ sub. The TSA can, will, and is mandated to open your bags and check them. If you put a padlock on your bag they will either open the zipper as descibed above or they will straight up cut the lock or even cut open the bag itself if needed.

Do not put anything you would be exceptionally upset to lose in checked baggage. This includes valuables, electronics, medicines, gifts, etc... Ship it via UPS or USPS, and insure it if it's exceptionally valuable.",best suitcase lock
8887,"In that case, is peroxide abrasive? Since that's also a key component in teeth whitening.",best toothpaste
